date,target
20020102,1
20020103,0
20020104,0
20020107,1
20020108,0
20020109,0
20020110,1
20020111,0
20020114,0
20020115,1
20020116,0
20020117,1
20020118,0
20020121,1
20020122,0
20020123,0
20020124,0
20020125,1
20020128,0
20020129,0
20020130,1
20020131,1
20020201,0
20020204,0
20020205,1
20020206,1
20020218,0
20020219,0
20020220,0
20020221,0
20020222,1
20020225,0
20020226,0
20020227,1
20020301,1
20020304,0
20020305,0
20020306,1
20020307,0
20020308,0
20020311,1
20020312,0
20020313,0
20020314,1
20020315,0
20020318,0
20020319,0
20020320,1
20020321,1
20020322,0
20020325,1
20020326,1
20020327,0
20020328,1
20020329,0
20020401,1
20020402,0
20020403,1
20020404,0
20020408,0
20020409,0
20020410,1
20020411,0
20020412,1
20020415,0
20020416,1
20020417,0
20020418,0
20020419,1
20020422,0
20020423,0
20020424,1
20020425,0
20020426,0
20020429,0
20020430,0
20020502,0
20020503,1
20020506,0
20020507,1
20020508,0
20020509,0
20020510,1
20020513,0
20020514,0
20020515,1
20020516,0
20020517,0
20020520,0
20020521,0
20020522,1
20020523,1
20020524,1
20020527,1
20020528,0
20020529,1
20020530,1
20020531,0
20020603,0
20020604,1
20020605,1
20020606,0
20020607,0
20020610,1
20020611,0
20020612,1
20020613,1
20020614,1
20020617,0
20020618,0
20020619,0
20020620,1
20020621,1
20020624,0
20020625,0
20020626,0
20020627,0
20020628,1
20020701,0
20020702,1
20020703,1
20020704,1
20020705,1
20020708,1
20020709,1
20020710,0
20020711,1
20020712,1
20020715,0
20020716,0
20020717,0
20020718,0
20020719,0
20020722,0
20020723,1
20020724,0
20020725,0
20020726,0
20020729,1
20020730,1
20020731,0
20020801,0
20020802,1
20020805,0
20020806,1
20020807,1
20020808,0
20020809,1
20020812,0
20020813,0
20020814,1
20020815,0
20020816,0
20020819,0
20020820,0
20020821,1
20020822,1
20020823,0
20020826,1
20020827,0
20020828,0
20020829,1
20020830,0
20020902,0
20020903,0
20020904,1
20020905,0
20020909,1
20020910,1
20020911,0
20020912,0
20020913,0
20020916,0
20020917,1
20020918,0
20020919,0
20020920,1
20020923,0
20020924,0
20020925,0
20020926,0
20020927,0
20020930,1
20021001,1
20021002,0
20021003,0
20021004,1
20021007,0
20021008,1
20021009,0
20021011,0
20021014,1
20021015,1
20021016,0
20021017,1
20021018,1
20021021,1
20021022,0
20021023,1
20021024,0
20021025,1
20021028,0
20021029,0
20021030,0
20021031,1
20021101,0
20021104,0
20021105,0
20021106,1
20021107,1
20021108,1
20021111,0
20021112,1
20021113,0
20021114,0
20021115,1
20021118,0
20021119,0
20021120,0
20021121,0
20021122,1
20021125,0
20021126,0
20021127,0
20021128,0
20021129,1
20021202,1
20021203,1
20021204,0
20021205,1
20021206,0
20021209,0
20021210,0
20021211,0
20021212,0
20021213,0
20021216,1
20021217,0
20021218,0
20021219,1
20021220,1
20021223,0
20021224,0
20021225,0
20021226,1
20021227,0
20021230,0
20021231,0
20030102,1
20030103,1
20030106,1
20030107,0
20030108,1
20030109,0
20030110,0
20030113,1
20030114,0
20030115,0
20030116,0
20030117,0
20030120,1
20030121,0
20030122,1
20030123,1
20030124,0
20030127,0
20030128,1
20030206,0
20030207,0
20030210,0
20030211,0
20030212,1
20030213,0
20030214,0
20030217,1
20030218,0
20030219,0
20030220,0
20030221,0
20030224,1
20030225,0
20030226,0
20030227,1
20030303,1
20030304,1
20030305,0
20030306,0
20030307,0
20030310,0
20030311,0
20030312,1
20030313,1
20030314,0
20030317,0
20030318,1
20030319,0
20030320,1
20030321,0
20030324,0
20030325,1
20030326,0
20030327,1
20030328,0
20030331,0
20030401,1
20030402,0
20030403,0
20030404,1
20030407,1
20030408,0
20030409,0
20030410,1
20030411,0
20030414,0
20030415,0
20030416,1
20030417,0
20030418,1
20030421,0
20030422,0
20030423,0
20030424,0
20030425,0
20030428,1
20030429,1
20030430,0
20030502,1
20030505,1
20030506,1
20030507,1
20030508,0
20030509,1
20030512,0
20030513,1
20030514,1
20030515,1
20030516,0
20030519,0
20030520,1
20030521,0
20030522,1
20030523,1
20030526,1
20030527,0
20030528,0
20030529,1
20030530,1
20030602,1
20030603,0
20030605,0
20030606,0
20030609,1
20030610,1
20030611,0
20030612,1
20030613,1
20030616,1
20030617,0
20030618,0
20030619,1
20030620,0
20030623,0
20030624,1
20030625,1
20030626,0
20030627,0
20030630,0
20030701,1
20030702,1
20030703,0
20030704,1
20030707,1
20030708,0
20030709,0
20030710,0
20030711,1
20030714,1
20030715,0
20030716,1
20030717,0
20030718,0
20030721,0
20030722,1
20030723,0
20030724,1
20030725,1
20030728,0
20030729,0
20030730,0
20030731,1
20030801,1
20030804,0
20030805,0
20030806,1
20030807,1
20030808,0
20030811,0
20030812,1
20030813,1
20030814,0
20030815,0
20030818,0
20030819,0
20030820,0
20030821,1
20030822,0
20030825,1
20030826,0
20030827,0
20030828,0
20030829,1
20030901,1
20030902,1
20030903,0
20030904,0
20030905,0
20030908,1
20030909,0
20030910,0
20030912,1
20030915,0
20030916,1
20030917,0
20030918,1
20030919,0
20030922,0
20030923,1
20030924,1
20030925,1
20030926,0
20030929,0
20030930,0
20031001,0
20031002,1
20031003,1
20031006,1
20031007,0
20031008,0
20031009,1
20031013,1
20031014,0
20031015,0
20031016,1
20031017,0
20031020,1
20031021,0
20031022,0
20031023,0
20031024,0
20031027,1
20031028,1
20031029,0
20031030,0
20031031,0
20031103,1
20031104,0
20031105,1
20031106,0
20031107,1
20031110,1
20031111,0
20031112,0
20031113,0
20031114,1
20031117,0
20031118,0
20031119,0
20031120,0
20031121,1
20031124,0
20031125,0
20031126,0
20031127,0
20031128,0
20031201,1
20031202,0
20031203,0
20031204,1
20031205,0
20031208,0
20031209,0
20031210,0
20031211,1
20031212,0
20031215,1
20031216,1
20031217,0
20031218,1
20031219,0
20031222,1
20031223,0
20031224,0
20031225,0
20031226,0
20031229,0
20031230,1
20031231,1
20040102,1
20040105,1
20040106,0
20040107,0
20040108,0
20040109,0
20040112,0
20040113,0
20040114,1
20040115,0
20040116,0
20040127,1
20040128,1
20040129,0
20040130,1
20040202,0
20040203,0
20040204,0
20040205,1
20040206,1
20040209,1
20040210,0
20040211,0
20040212,0
20040213,1
20040216,0
20040217,1
20040218,0
20040219,1
20040220,0
20040223,0
20040224,0
20040225,1
20040226,0
20040227,1
20040301,1
20040302,1
20040303,0
20040304,1
20040305,0
20040308,0
20040309,1
20040310,0
20040311,1
20040312,1
20040315,0
20040316,0
20040317,0
20040318,1
20040319,1
20040322,0
20040323,1
20040324,0
20040325,0
20040326,0
20040329,1
20040330,1
20040331,0
20040401,1
20040402,0
20040405,1
20040406,0
20040407,1
20040408,1
20040409,0
20040412,1
20040413,0
20040414,1
20040415,0
20040416,1
20040419,0
20040420,0
20040421,1
20040422,0
20040423,0
20040426,0
20040427,0
20040428,0
20040429,0
20040430,0
20040503,0
20040504,1
20040505,0
20040506,0
20040507,1
20040510,0
20040511,1
20040512,0
20040513,0
20040514,0
20040517,0
20040518,1
20040519,1
20040520,1
20040521,1
20040524,1
20040525,1
20040526,0
20040527,0
20040528,1
20040531,0
20040601,0
20040602,0
20040603,0
20040604,1
20040607,1
20040608,0
20040609,0
20040610,0
20040611,0
20040614,0
20040615,1
20040616,0
20040617,1
20040618,0
20040621,0
20040623,1
20040624,1
20040625,1
20040628,0
20040629,1
20040630,1
20040701,0
20040702,1
20040705,0
20040706,1
20040707,1
20040708,0
20040709,1
20040712,0
20040713,0
20040714,0
20040715,0
20040716,1
20040719,1
20040720,0
20040721,1
20040722,1
20040723,1
20040726,1
20040727,1
20040728,0
20040729,0
20040730,1
20040802,0
20040803,1
20040804,0
20040805,1
20040806,1
20040809,1
20040810,0
20040811,0
20040812,1
20040813,1
20040816,0
20040817,0
20040818,1
20040819,1
20040820,1
20040823,1
20040826,1
20040827,0
20040830,0
20040831,1
20040901,1
20040902,0
20040903,0
20040906,1
20040907,1
20040908,0
20040909,0
20040910,0
20040913,1
20040914,0
20040915,0
20040916,1
20040917,0
20040920,1
20040921,1
20040922,1
20040923,1
20040924,0
20040927,0
20040929,0
20040930,0
20041001,1
20041004,1
20041005,0
20041006,0
20041007,0
20041008,1
20041011,1
20041012,0
20041013,0
20041014,0
20041015,1
20041018,0
20041019,0
20041020,0
20041021,1
20041022,0
20041026,0
20041027,0
20041028,0
20041029,1
20041101,0
20041102,1
20041103,1
20041104,0
20041105,0
20041108,1
20041109,1
20041110,1
20041111,0
20041112,1
20041115,0
20041116,0
20041117,1
20041118,0
20041119,0
20041122,0
20041123,0
20041124,1
20041125,0
20041126,0
20041129,0
20041130,1
20041201,1
20041202,1
20041203,1
20041206,1
20041207,1
20041208,0
20041209,1
20041210,1
20041213,0
20041214,1
20041215,1
20041216,1
20041217,0
20041220,1
20041221,1
20041222,0
20041223,0
20041224,1
20041227,0
20041228,1
20041229,1
20041230,0
20041231,1
20050103,0
20050104,0
20050105,0
20050106,0
20050107,0
20050110,0
20050111,1
20050112,0
20050113,0
20050114,1
20050117,0
20050118,0
20050119,0
20050120,1
20050121,0
20050124,0
20050125,1
20050126,1
20050127,0
20050128,1
20050131,1
20050201,0
20050202,1
20050203,1
20050214,0
20050215,1
20050216,1
20050217,0
20050218,1
20050221,0
20050222,0
20050223,1
20050224,1
20050225,1
20050301,1
20050302,0
20050303,0
20050304,1
20050307,0
20050308,0
20050309,1
20050310,0
20050311,0
20050314,0
20050315,0
20050316,1
20050317,1
20050318,1
20050321,1
20050322,0
20050323,1
20050324,0
20050325,1
20050328,0
20050329,0
20050330,1
20050331,1
20050401,1
20050404,1
20050406,0
20050407,0
20050408,1
20050411,0
20050412,1
20050413,0
20050414,1
20050415,0
20050418,0
20050419,1
20050420,0
20050421,1
20050422,0
20050425,1
20050426,1
20050427,0
20050428,1
20050429,1
20050503,0
20050504,0
20050505,1
20050506,1
20050509,1
20050510,0
20050511,0
20050512,1
